Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.62834,0,1
1,1.30712,0.0255449,0.996022
2,1.23195,0.0547938,1.00384
3,0.96636,0.10412,1.0098
4,0.894267,0.114893,1.01559
5,0.840435,0.127779,1.02165
6,0.794568,0.14088,1.02902
7,0.738722,0.165132,1.03959
8,0.690653,0.185542,1.04327
9,0.604896,0.218823,1.04206
10,0.574098,0.221571,1.0442
11,0.536643,0.232421,1.04368
12,0.499591,0.248893,1.0445
13,0.472828,0.268283,1.04721
14,0.44884,0.282974,1.05124
15,0.420658,0.302386,1.0529
16,0.411662,0.304089,1.05278
17,0.390179,0.319601,1.05385
18,0.366388,0.336456,1.05802
19,0.34866,0.3431,1.05955
20,0.344073,0.346356,1.06052
21,0.328364,0.362938,1.06805
22,0.315624,0.365665,1.06894
23,0.296166,0.385153,1.07823
24,0.279746,0.396625,1.08241
25,0.275364,0.397349,1.08283
26,0.264926,0.40522,1.08433
27,0.262841,0.407835,1.0855
28,0.256512,0.415245,1.08785
29,0.252917,0.415551,1.08797
30,0.244143,0.423375,1.08986
31,0.241719,0.425242,1.09051
32,0.23349,0.433523,1.09269
33,0.232877,0.435398,1.09306
34,0.227422,0.443833,1.0948
35,0.223232,0.443757,1.09473
36,0.221843,0.445795,1.09536
37,0.219201,0.449435,1.09624
38,0.210214,0.462509,1.09812
39,0.204847,0.467326,1.09878
40,0.198933,0.477132,1.10035
41,0.195322,0.477236,1.10038
42,0.190865,0.48935,1.1028
43,0.186193,0.489273,1.10273
44,0.184783,0.494125,1.10355
45,0.180404,0.50025,1.10379
46,0.173722,0.50957,1.10284
47,0.169684,0.510993,1.10307
48,0.159166,0.5257,1.10159
49,0.156533,0.525695,1.10155
50,0.151311,0.531696,1.10292
51,0.145483,0.540236,1.10363
52,0.132567,0.561703,1.10478
53,0.128129,0.567486,1.10278
54,0.122825,0.574634,1.10116
55,0.117776,0.58766,1.09716
56,0.113782,0.588149,1.09727
57,0.116871,0.601204,1.09437
58,0.112893,0.601305,1.09446
59,0.10671,0.601096,1.09427
60,0.105585,0.601158,1.09436
61,0.104895,0.601262,1.09447
62,0.104604,0.601398,1.09463
63,0.104352,0.601602,1.09485
64,0.104139,0.601712,1.095
65,0.103755,0.603063,1.095
66,0.103926,0.606409,1.09493
67,0.102217,0.606438,1.09495
68,0.102367,0.608279,1.09488
69,0.101425,0.61131,1.09465
70,0.102485,0.616647,1.09404
71,0.0983857,0.616815,1.09423
72,0.100322,0.621348,1.09366
73,0.0968361,0.621453,1.09375
74,0.100298,0.62964,1.09266
75,0.0950711,0.630069,1.09288
76,0.0980175,0.635933,1.09265
77,0.0937404,0.636059,1.09276
78,0.0937738,0.640689,1.09238
79,0.0909939,0.64481,1.09249
80,0.0959709,0.655456,1.09145
81,0.0874896,0.655347,1.09135
82,0.0900895,0.661398,1.09065
83,0.0885755,0.66966,1.09014
84,0.0936301,0.681618,1.08803
85,0.0819975,0.681547,1.08798
86,0.082296,0.683367,1.08734
87,0.0780416,0.687217,1.08706
88,0.085243,0.693165,1.08611
89,0.0723182,0.693349,1.08628
90,0.0987411,0.700349,1.08439
91,0.0726202,0.700609,1.08463
92,0.0916163,0.704471,1.08373
93,0.0694859,0.704701,1.08405
94,0.0916307,0.710698,1.08244
95,0.0712139,0.714499,1.08284
96,0.133651,0.726254,1.07959
97,0.0692106,0.726568,1.07989
98,0.134991,0.732789,1.07786
99,0.0670635,0.733087,1.07814
100,0.13493,0.738479,1.07745
101,0.0667128,0.738751,1.07771
102,0.122952,0.742863,1.07802
103,0.0645635,0.743087,1.07824
104,0.13228,0.748631,1.07798
105,0.0631432,0.748859,1.0782
106,0.121908,0.753962,1.07825
107,0.0610025,0.754155,1.07844
108,0.11544,0.758593,1.07862
109,0.0582827,0.758455,1.07854
110,0.174856,0.770311,1.07599
111,0.0573585,0.770569,1.07624
112,0.177528,0.781797,1.07404
113,0.0569627,0.782039,1.07427
114,0.137526,0.786735,1.0739
115,0.052685,0.786904,1.07406
116,0.132445,0.793585,1.07329
117,0.0512865,0.793738,1.07344
118,0.144523,0.802214,1.07259
119,0.0507361,0.802369,1.07274
120,0.107316,0.807059,1.07285
121,0.0472138,0.807162,1.07295
122,0.0689452,0.808837,1.07325
123,0.0738316,0.814594,1.07282
124,0.0663167,0.819337,1.07252
125,0.0427533,0.81938,1.07256
126,0.0519313,0.820679,1.07244
127,0.0491453,0.821713,1.07252
128,0.0546796,0.82397,1.07285
129,0.0415023,0.823998,1.07288
130,0.0608497,0.826664,1.07323
131,0.0414789,0.826698,1.07326
